publisher_name,publisher_id
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask
Aasaman Nepal,aasaman
ABAAD - Resource Center for Gender Equality,arcfge
Abaseen Foundation UK,abaseen
AbleChildAfrica,ablechildafrica
Abt Associates Inc,abt
Academy for Health Development (AHEAD),ahead
Académie de recherche et d'enseignement supérieur,ares
Access to Medicine Foundation,atmf
"Access to Nutrition Foundation, The",atnf
Access to Seeds Foundation,atsf
Acid Survivors Foundation,_admin
ACODEV,acodev
Across,across
act4africa,act4africa
ACTED,acted
ACTION AGAINST HUNGER SPAIN,acfspain
Action Against Hunger UK,acf
ActionAid International,aai
ActionAid UK,aauk
Acumen,acumen
Adam Smith International,asi
Adaptation Fund,af
ADD International,addinternational
Administração de Infra-Estruturas de Águas e Saneamento,aias
ADRA-UK,adrauk
ADS-Nyanza,ads-nyanza
Adventist Development and Relief Agency (ADRA Somalia),adrasom
AECOM,aecom
Aeras,aeras
AFEW International,afewinternational
Afghanaid,afghanaid
Afghanistan and Central Asian Association,acaa
Afghanistan Public Policy Research Organization (APPRO),appro-af
Africa Educational Trust,aet
Africalia,africalia
African Center for Economic Transformation (ACET),acet
African Centre for Global Health and Social Transformation,achest
African Development Bank,afdb
African Initiatives,ai_1064413
African Population and Health Research Center,aphrc
Afrikagrupperna Sweden,afrikagrupperna
AfriKids,afrikids
Aga Khan Foundation (United Kingdom),akfuk73
Aga Khan Foundation Afghanistan,akf_afghanistan
Agence Française de Développement,afd
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin
Agency for Cooperation and Research in Development (ACORD),acord
AgResults Initiative,agresults
AgriProFocus,agriprofocus
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics
AidData,aiddata
Aide au Développement Gembloux - ADG,adg
Aids Fonds - STOP AIDS NOW! - Soa Aids Nederland,nl-kvk-41207989
AIDSPAN,aidspan
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp
Aktis Strategy Ltd,aktis
Akvo Foundation,akvo
Al Quds Public Health Society,aqphs
Alcis Holdings Limited,alcis
Alfalit,alfalit
All We Can (formerly Methodist Relief and Development Fund),allwecan
Alliance of Religions and Conservation,alliance_of_religions_and_conservation
American Friends Service Committee,afsc
Amnesty International The Netherlands,amnesty
Amnesty International UK Section Charitable Trust,aiuk
Amref Flying Doctors,amrefnl
Amref Health Africa - UK,amrefha
Amref Health Africa Headquarters,amrefhq
Amref Health Africa in Ethiopia,amrefeth
Amref Health Africa in Kenya,amrefkenya
Amref Health Africa in Tanzania,amreftz
Amref Health Africa in Uganda,amrefug
Amref Health Africa Malawi,amrefmw
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya
ANDA,anda
Anti-Slavery International,asil
APPRO-Europe,appro-eu
APT Action on Poverty,apt
Aqua for All,aqua4all
Arab foundation for freedoms and equality,afemena
ARK (Absolute Return for Kids),ark
Article19,art19
"Asia Foundation, The",taf
Asian Development Bank,asdb
Association for Cultural Technical and Educational Cooperation (ACTEC),actec
Association for Progressive Communication,apc
Association for Reproductive and Family Health,arfh
Association for Women's Rights in Development (AWID),awid
Association of Commonwealth Universities,acu
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe
Atos IT Services Ltd,atosuk
Atradius Dutch State Business,adsb
Australia - Department of Foreign Affairs and Trade,ausgov
Auto-Développement Afrique (ADA),ada
Autre Terre asbl,a-t
Avocats Sans Frontières,asf
AVSI FOUNDATION IN UGANDA,avsi_uganda
AWEPA,awepa
Backward Society Education (BASE),base_22
Bangladesh Nari Progati Sangha,bnps
BasicNeeds,basicneeds
Baylor College of Medicine Children's Foundation Malawi,bcm-cf
BBC Media Action,bbcmediaaction
BDO LLP,bdo
Bees Abroad UK,bauk
Bees for Development Trust,beesfordevelopment
Belgian development agency (Enabel),enabel
Belgian Development Cooperation,be-dgd
Benelux Afro Center,bac
Berytech Foundation,berytech
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi
Bill & Melinda Gates Foundation,bmgf
Bioclimate Research and Development,bioclimate
Blue Ventures Conservation,blueventures
Bond,bond
BOS+ tropen,bos_plus_tropen
Both ENDS,bothends
BRAC,brac_admin2
BRAC International,bracintl
Brigham and Women's Hospital,bwh
British & Irish Agencies Afghanistan Group,baag
British Asian Trust,b_a_t
British Red Cross,gb-chc-220949
Broederlijk Delen,bd
Brulocalis,brulocalis
BSR,bsr_admin
Bucks Community NGO,bucksfarm
Build Africa,buildafrica
Burns Violence Survivors - Nepal,bvs-nepal
C40 Cities Climate Leadership Group,c40cities
CABI,cabi
Camfed International,camfed
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi
Canada Department of Finance / Ministère des Finances Canada,finance_canada
Canon Collins Trust,canoncollinstrust
Cardno Emerging Markets,cardnoem
CARE International in Zimbabwe,ciz
CARE International UK,ciuk
CARE Nederland,carenederland
Carers Worldwide,cww
Caribbean Development Bank (CDB),caribank
Caritas Denmark,caritas_denmark
Caritas Finland,caritasfin
Caritas International (Belgium),cibe
Caritas Serbia,caritas_serbia
"Carter Center, The",carter-center
Catholic Agency For Overseas Development (CAFOD),cafod
Catholic Relief Services,crs_vyf
CDA Collaborative Learning Projects,cda
CDC Group plc,cdc
Cecily's Fund,cecily
Center for Civilians in Conflict,civic_admin
Center for Research on Environment Health and Population Activities (CREHPA),crehpa
"center for victimized women and children, The",cavwoc
Centre For Citizens With Disabilities,ccdnigeria
Centre for Economic Policy Research,cepr
Centre for Indian Knowledge Systems,ciks
Centre for the Study of Adolescence,csa-kenya
Centre National de Coopération au Développement (CNCD-11.11.11),cncd
Centre Tricontinental - CETRI,ct-admin
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),umati
Charity Projects Ltd (Comic Relief),cprojects
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin
Chemonics International Inc.,chemonics
Child-to-Child,ctc
ChildFund International,childfund
ChildHope UK,childhopeuk
Children in Crisis,cic
CHOICE for Youth and Sexuality,cfyas
Christian Aid,caid
Christian Aid Ireland,caid_ireland
Christian Blind Mission (UK) Ltd.,cbm
Christian Engineers in Development,ced
CIFAL Scotland,cifal
CINI,cini_jhk
