publisher_name,publisher_id
CIVICUS World Alliance for Citizen Participation,civicus
CLASP,clasp
Clean Clothes Campaign,ccc
Climate Investment Funds,cif
Climate Policy Initiative,cpi
Clinton Health Access Initiative,chai
CNV Internationaal,nl-kvk-54436222-27541
COC Nederland,cocnl_publisher
"Coca-Cola Export Corporation, The",tccec
CODA International,coda
Coffey International Development,coffey
ColaLife,colalife
Collectif Stratégies Alimentaires,csa
Comité pour l'abolition des dettes illégitimes,cadtm
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp
"Commonwealth Secretariat, The",commonwealthsecretariat
Commune de Adja-Ouere - Bénin,adja-ouere
Commune de Adjarra - Bénin,adjarra
Commune de Adjohoun - Bénin,adjohoun
Commune de Akpro-Missérété - Bénin,akpro-misserete
Commune de Allada - Bénin,allada
Commune de Aplahoué - Bénin,aplahoue
Commune de Avrankou - Bénin,avrankou
Commune de Bopa - Bénin,bopa
Commune de Comè - Bénin,come
Commune de Dangbo - Benin,dangbo
Commune de Ifangni - Bénin,ifangni
Commune de Klouékanmè - Bénin,klouekanme
Commune de Kpomassè - Bénin,kpomasse
Commune de Kétou - Bénin,ketou
Commune de Lalo - Bénin,lalo
Commune de Parakou - Bénin,parakou
Commune de Pobè - Bénin,pobe
Commune de Toffo - Bénin,toffo
Commune de Toviklin - Bénin,toviklin
Commune de Zè - Bénin,ze
Concern Worldwide,concern_worldwide
Concern Worldwide UK,concernuk
Conciliation Resources,cr
Concordis International,concordis
Conflict Dynamics International,cdi
Congodorpen vzw,congodorpen
Construction Sector Transparency Initiative (CoST),cost_uk
"Convention on Business Integrity, The",cbi-nigeria
Coopération par l'Education et la Culture,cec
Cord,cord
Cordaid,cordaid
COWI,cowi
CRANE,crane
CREA,creausa-org
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,crb-ai_admin
Crown Agents Limited,cal
CUAMM Trustees,cuammtrustees
Cyan International,cyan
DAI Europe,dai-e
DAI Global Health,healthpartners-international
Damiaanactie / Action Damien,damien-foundation
dance4life,dance4life
DanChurchAid,dca
Danish Refugee Council,drc
DECP,decp
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl
Delivery Associates Ltd,delivery_associates
Deloitte Touche Tohmatsu India LLP,dttillp
Denmark - Ministry of Foreign Affairs,danida
Desmond Tutu HIV Foundation,dthfxx12
Development Aid from People to People (DAPP) Malawi,dapp
Development Initiatives Poverty Research,dipr
Development Organisation of the Rural Poor,dorp-org
Developments In Literacy Trust UK,diltuk
Diakonia Sweden,diakonia802017-3517
Digital Campus,dc
Disability and Development Partners,ddp
Disability Rights Advocacy Fund,draf
Disability Rights Fund,drf
Disasters Emergency Committee,dec-uk
"Discovery Learning Alliance, Inc.",dla
Djapo VZW,djapo
DKT - (Pakistan),dkt
DNH Mali (Direction Nationale de l’Hydraulique du Mali),pca-gire
Doctors of the World UK,dotw_uk
Dorcas Aid International,dai
Dynamo International asbl,dynamo_international
Défi Belgique Afrique,dba
Dóchas - Irish Association of Non Governmental Development Organisations,dochas
ECDPM,ecdpm
Echos Communication,ec
Economic and Social Research Foundation (ESRF),esrf
Ecorys Nederland B.V.,ecorysnl
Ecorys UK,ecuk
Education Development Trust,edt_kenya
Emmanuel International UK,eiuk
EMMS International,emms
Energy Saving Trust,energy_saving_trust
Enfance Tiers Monde Kinderen Derde Wereld,etmkdw
EngenderHealth Ethiopia,engenderhealth_eth
Engineers Without Borders Canada,ewb_canada
Enhanced Integrated Framework,eif
Entraide et Fraternité,ef_
equileap,equileap
Ethical Trading Initiative,eti
Ethiopiaid UK,ethiopiaiduk
Ethiopian Horticulture Producer Exporters Association (EHPEA),ehpea
European Bank for Reconstruction and Development,ebrd
European Commission - Directorate-General for International Cooperation and Development,ec-devco
European Commission - Humanitarian Aid & Civil Protection,ec-echo
European Commission - Neighbourhood and Enlargement Negotiations,ec-near
European Commission - Service for Foreign Policy Instruments,ec-fpi
European Institute of Peace,eip
European Investment Bank,eib
European Journalism Centre,ejc
EveryChild,evc
Excellent Development,excellent
Exeter Ethiopia Link,eel
Fair Wear Foundation,fwf
Fairfood International,fairfood
Fairtrade Belgium,fairtrade_be
Fairtrade Labelling Organizations International e.V.,fairtrade_international
Family Aids Caring Trust,fact
Family Life Education Program,flepuganda
Farm Africa,fa
Fauna & Flora International,ffi_publisher
Federation of Women Lawyers Kenya,fida
Feed the Minds,ftm-291333
Fiabel,fiabel
FIAN Belgium,fian-belgium
Find Your Feet,fyf
Finland - Ministry of Foreign Affairs,finland_mfa
FMO,fmo
Fondo Centroamericano de Mujeres,fcam
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,fos
Food and Agriculture Organization of the United Nations (FAO),fao
Food for the Hungry UK,fh
Forests Monitor,fm
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,fucid
"Foundation Center, The",foundation_center
France - Ministry for Europe and Foreign Affairs,france
FRANK Water,frankwater
Free a Girl,freeagirl
Free Press Unlimited,free_press_unlimited
Freedom Forum,ff
"Freedom Fund, The",thefreedomfund
Friends of Kipkelion,kipkelion
Friends of Publish What You Fund,friendsofpwyf
"Friends of the Earth England, Wales and Northern Ireland",foe_ewni
Friends of the Earth International,foei
Friends of the Earth-Ghana,foe-ghana
Fundacion Acceso,fundacion-acceso
Fundación Oriéntame,orientame
Fundo de Investimento e Patrimonio do Abastecimento de Água (FIPAG),fipag
G3W-M3M,g3w-m3m_admin
GAVI Alliance,gavi
GEMS Education Solutions,mgcubed
Gender Links,gl
Geneva Centre for the Democratic Control of Armed Forces (DCAF),dcaf
GEOMOUN ASBL,geomoun
Germany - Ministry for Economic Cooperation and Development,bmz
Girls Not Brides: The Global Partnership to End Child Marriage,girlsnotbrides
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc
Giro555 (Stichting Samenwerkende Hulporganisaties),giro555
GiveDirectly,givedirectly
Global Action Nepal,gan
"Global Alliance for Improved Nutrition, The",gain
Global Alliance for TB Drug Development,tb-a
"Global Forum on MSM & HIV (MSMGF), The",msmgf
"Global Fund to Fight AIDS, Tuberculosis and Malaria, The",theglobalfund
Global Innovation Fund,gif
Global Network of People Living with HIV (GNP+),gnpplus
Global Network of Sex Work Projects (NSWP),nswp
Global Partnership for Education,gpe
Global Rights Compliance,grc2018
GlobalGiving.org,globalgiving
GOAL,goal
GOGLA - Global Off-Grid Lighting Association,gogla
GPPAC Foundation,gppac
Grow Movement,growmovement_admin
Guttmacher Institute,guttmacher
Hagar International UK,hagar_uk
Haiti Hospital Appeal,hha
"HALO Trust, The",halo
Hand in Hand International,handinhand
Handicap International Belgique,hib
Handicap International UK,hiuk
HE Foundation,hefoundation
Health Poverty Action,hpa
HealthNet TPO,healthnet
HealthProm,hp_12
Heifer International South Africa,hsa
Heifer Nederland,heifernederland
HelpAge International,helpage_international
HelpAge International UK,ageintl
Helvetas Swiss Intercooperation,hsi
HiiL innovating Justice,hiil_mfa
Hilfswerk Austria Zimbabwe,hwa-zm
Hivos,stichting_hivos
Homeless International,hi
Hope and Homes for Children,hhc
Horizons for Green Development,horizons
Hospice Africa Ltd,hauk
HTSPE,htspe
Human Relief Foundation,hrf
"Hunger Project Netherlands, The",thp_org
I Choose Life Africa,ke-ngc-3372
ICA:UK,icauk
ICCO Cooperation,icco-cooperation
ICF Consulting Services Ltd,icf
ICS,ics
IDEO.org,ideo_org
"IDH, the Sustainable Trade Initiative",idh
IFOAM - Organics International,ifoam
IHE Delft Institute for Water Education,ihedelft
Iles de Paix,idp
IMC WORLDWIDE,imcw_admin
Indigo Trust,indtrust
Institut de Formation Syndical International,ifsi_isvi
"Institut National de l'Eau, Benin",ine_benin
Institute for International Workers Education,iiwe
Institute of Development Studies,ids
Institute of Tropical Medicine,itm
Integrity Action,integrity_action
Integrity Research and Consultancy Ltd,integrity
Inter-American Development Bank,iadb
Interact Worldwide,iww_publish
InterAction,interaction
InterAction's NGO Aid Map,ia_nam
interburns,interburns
InterClimate Network,icn
International Alert,international-alert
International Bureau of Fiscal Documentation (IBFD),ibfd
International Centre of Insect physiology and ecology (icipe),icipe
International Child Development Initiatives,icdi
"International Children's Trust, The",theict
International Climate Initiative / BMU - IKI Secretariat,bmu_iki
International Development Law Organization (IDLO),idlo
International Federation of Accountants,ifac
International Federation of the Red Cross and Red Crescent (IFRC),ifrcrcs
International Finance Corporation,ifcwbg
International Fund for Agricultural Development (IFAD),ifad
International HIV/AIDS Alliance,ihaa
International IDEA,idea
International Initiative for Impact Evaluation,3ie
International Labour Organization (ILO),ilo
International Medical Corps UK,imc_uk
International Monetary Fund,imf
International Network for Bamboo and Rattan (INBAR),inbar
International Network of People who Use Drugs (INPUD),inpud_admin
International NGO Safety Orgnisation,inso
International Organization for Migration (IOM),iom
International Planned Parenthood Federation,ippf
International Procurement Agency,ipa
International Rescue Committee UK,irc_uk
"International Rescue Committee, The",irc_inc
International Service,unais
International Treatment Preparedness Coalition (ITPC),itpc
International Union for Conservation of Nature and Natural Resources,iucn
International Women's Development Agency,iwda
Internews Europe,ieu
IntraHealth International,intrahealth
IOD PARC,iodparc
iPartner India,ip-india
Ipas,ipas
IPE Global Limited,ipeglobal
Iraq Foundation,iraq_foundation
IRC,irc
Ireland - Department of Foreign Affairs and Trade,irishaid
IREX (International Research and Exchange Board),suhanajjar
Irise International,irise_int
Islamic Relief Worldwide,irw
Itad,itad
ITECO - Centre de formation pour le développement,iteco
IUCN Nederlands Comité,iucn_nl
Japan International Cooperation Agency (JICA),jica
Jeevika Trust,jeevika_trust
Johns Hopkins University,gi-jhu
Joshua Orphan and Community Care,jocc_uk
Just Associates,jass
Kadaster International,kad
Karuna Trust,karuna
Kepa ry,kepa
Kesho Kenya,kesho_kenya
Kisumu Medical and Education Trust,kmet
KIYO,kiyo
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher
KPMG East Africa,kpmgea
KPMG LLP,kpmgllp
KwaAfrica,kwaafrica
LAMB Health Care Foundation,lhcf
Landell Mills,landell-mills
Le Monde selon les femmes asbl,mondefemmes
LEAD International,lead_international
Learning for Life,learningforlife
Leonard Cheshire Disability,lcd_admin
Lepra,lepra
"Leprosy Mission England and Wales, The",tlmew
Light For The World Belgium,lftw-be
LIGHT FOR THE WORLD The Netherlands,lftwnl
Link Community Development International,lcdi_admin
Link Community Development Scotland,lcds
"Lithuania, Ministry of Foreign Affairs",lithuania_mfa
Lively Minds,livelyminds
Liverpool School of Tropical Medicine,lstm
Living Earth Foundation,livingearth12
Local Development and Small Projects Support,ldsps
Louvain Coopération,lc
MADE in Europe,mie-1134415
MAG,mag
Magariro,magariro
Mainline,mainline
Malaria Consortium,malariaconsortium
Mama Cash,mamac
MAMTA - Health Institute for Mother and Child,mamta_himc
MannionDaniels,manniondaniels
MapAction,mapaction
Marie Stopes International,msi
marysmeals,marysmeals
Mastercard Foundation,mastercard-foundation
Max Foundation,max-foundation
Maxwell Stamp PLC,mstamp
McKinsey & Company,mck
Medair,medair
Medecins du Monde Belgique - Dokters van de Wereld Belgïe,medecins
"Medical Research Centre (MRC), Sierra Leone",mrc-sierra-leone
Memisa,memisa
Meningitis Research Foundation,mrf
Mensen met een Missie,mm1
"MENTOR Initiative, The",the_mentor_initiative
Mercy Corps Europe,mce
MICAIA,mic-uk
Micro Insurance Academy,mia_india
MicroLoan Foundation,mlf
Miel Maya Honing asbl,mmha
Mifumi UK,mifumi_uk
Milieudefensie,foenl
Millennium Challenge Corporation,millenniumchallenge
Ministry of Foreign Affairs of Japan,mofa-jpn
Ministry of Foreign and European Affairs of the Slovak Republic,slovakaid
Ministère de l'Economie et des Finances du Bénin,mefbenin
Mondiaal FNV,mondiaalfnv
mothers2mothers,m2m_sa
Motivation,motivation
Mott MacDonald Limited,mml
Mukisa Foundation,mukisa_foundation
Mulanje Mission Hospital,mmh
Multilateral Investment Fund,fomin
Musalaha Ministry of Reconciliation,mmr_admin2
Muslim Aid,muslimaid
MVO Nederland,mvo_nederland
Mzumbe University,m_u
Médecins Sans Vacances,msv
Nathan Associates London Ltd.,nathan
"National Association of Municipalities of Benin (ANCB), The",ancb_benin
National Coalition of Human Rights Defenders - Kenya,nchrdk
Natural Resource Governance Institute (NRGI),nrgi
"Natural Resources Institute, University of Greenwich.",nri
Near East Foundation (NEF USA),nef_usa
Netherlands - Ministry of Foreign Affairs,minbuza_nl
Netherlands Commission for Environmental Assessment,ncea
Netherlands Enterprise Agency,rvo
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq
Netherlands Leprosy Relief,nlr
Netherlands Red Cross,nlrc
Network for Africa,network4africa
Network For Enterprise Enhancement and Development Support,needs
Network of International Development Organisations in Scotland,nidos
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,mfat
NGO Federation of Nepal,nfn
Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking),ngo-federatie
Norad - Norwegian Agency for Development Cooperation,norad
Northern Rangelands Trust,nrt-kenya
Norwegian People's Aid,npa
Norwegian Refugee Council,nrc
"NpM, Platform for Inclusive Finance",npm
Nuffic,nuffic20171017
OCHA Country Based Pooled Funds,unocha-cbpf
ODI Sales Limited,odi_sales_ltd
Omidyar Network Fund Inc.,omidyarnetwork
One Acre Fund,oneacrefund
One to One Children's Fund,onetoonecf
ONG ALCRER,alcrer-1
"OPEC Fund for International Development (OFID), The",ofid
"Open University, The",open_university
openmindedly,openmindedly
Opportunity International UK,opportunity-international-uk
Options Consultancy Services,options
Orbis Africa,orbis_africa
Orbis Charitable Trust,orbis_uk
Orbis Ethiopia,orbis_ethiopia
Orbis International,orbis_international
Overseas Development Institute,odi
Oxfam America,oxfamus
Oxfam GB,oxfamgb
Oxfam IBIS,ibis_denmark
Oxfam India,oxfamindia
Oxfam Intermón,oxfamintermon
Oxfam Novib,onl
Oxfam Solidarité-Solidariteit,oxsol
Oxfam Wereldwinkels,oww
Oxfam-Magasins du monde (omdm),omdm
Oxford Policy Management,opml
Pact,pact
Palladium International Ltd (UK),palladium
Palliative Care Support Trust,pcst
Panos Institute West Africa (PIWA),ipao
partos,partos_nl
Pastoralist Girls Initiative,pgi_kenya
PAX,pax
PEAS (Promoting Equality in African Schools),peas
Penal Reform International,pri
People In Aid,peopleinaid
People in Need,pin
PHASE Nepal,phase-nepal
PHASE Worldwide,phase_worldwide
Plan International Belgium,pib
Plan International Finland,planinternationalfinland
Plan International Netherlands,plannlno
Plan International UK,plan_uk
Plan International USA,plan_usa
Plan Ireland Charitable Assistance Limited,plan_ireland
PONT,pont
Pontis Foundation,pontis
"Population Council, Inc., The",populationcouncil
Population Service International,psi
Population Services and Training Centre (PSTC),pstc_1102
Power International,power
"Power of Nutrition, The",the_power_of_nutrition
PRACTICA Foundation,practica
Practical Action,pa
Pragya India,pragya
PricewaterhouseCoopers Private Limited India,pwcplindia
"Princess Alia Foundation, The",paf_2018
Private Infrastructure Development Group,pidg
Progressio,progressio
Project Harar,phe
Promundo-US,pmo-us
Protecting Families Against HIV/AIDS,prefa_1
Protos,protos
Publish What You Fund,pwyf
PUM Netherlands,pumnl
Pump Aid,pumpaid
PwC,pwc
"Queen Elizabeth Diamond Jubilee Trust, The",qedjt
Queen Rania Foundation for Education and Development,qrfed
Quinoa,quinoa
Rahnuma-Family Planning Assocation of Pakistan,rfpap
Railway Children,rc
RAIN Foundation,rainfoundation
Rainforest Foundation UK,rfuk
Raleigh International,raleigh_int
RCN Justice & Démocratie,rcn
Red Cross Red Crescent Climate Centre,climate_centre
"Rehabilitation, Education and Community Health (REACH)",reach-iraq
Relief International - Somalia,ri_kenya
Relief International UK,ri-uk
Republic of Korea,odakorea
Resource Extraction Monitoring,rem
Restless Development,restless
Retrak,retrak
Right to Play Netherlands Foundation,rtp
Rikolto,rikolto
Rikolto in Belgium,rikolto_belgium
Rode Kruis-Vlaanderen Internationaal vzw,rkiv
Rojiroti UK,rojiroti
Romania Ministry of Foreign Affairs,uasd
Rotary Clubs For Development,rc4d
Royal College of General Practitioners (RCGP),rcgp-international
Royal College of Obstetricians & Gynaecologists,rcog_resilience_in_obstetric_skills
Royal Netherlands Football Association,knvb
Royal Society for the Protection of Birds,rspb_
Royal Tropical Institute,kit
RUAF Foundation,ruaf
Rutgers,rutgers
"Sabre Charitable Trust, The",sct
Saferworld,saferworld
"Salvation Army International Development UK, The",said-uk
Samaritan's Purse UK,spuk
Savana Signatures,savsign-org
Save the Children International,sci
Save the Children Netherlands,scnl
Save the Children UK,scuk
SCI Projets Internationaux ASBL_Service Civil International branche belge,scibelgium
Scottish Catholic International Aid Fund (SCIAF),sciaf
Search for Common Ground (SFCG),sfcg
SECOURS CATHOLIQUE - CARITAS FRANCE,sccf
Seefar,seefar
Self Help Africa,self-help-africa
Send a Cow,sendacow
Send a Cow Ethiopia,sacethiopia
Send a Cow Kenya,sac_kenya
Send a Cow Uganda,sacu
Sense International,sense_international
Sensorial Handicap Cooperation,shc
ShelterBox,shelterbox
Shtrii Shakti,shtrii_shakti
Sightsavers,ss-org
Signal,signal
Simavi,simavi
Simprints,simprints
Siren Associates,siren
SNV Netherlands Development Organisation,snv
Social Development Direct Limited,sddirect
"Social Fund for Development, Yemen",sfd-yemen
Social Impact Lab CIC,simlab
Social Watch Benin,swb_1
Société Nationale des eaux du Bénin (SONEB),soneb-benin
Solidagro,solidagro_admin
Solidaridad,solidaridad
Solidaridad Europe,solidaridad-europe
Solidaridad South & South-East Asia,solidaridad-ssea
Solidaridad West Africa,solidaridad-waf
Solsoc,solsoc
Sonke Gender Justice,sjg
SOS Children's Villages Kenya,soscvkenya
SOS Children's Villages The Netherlands,sosnl
SOS FAIM - SOS HUNGER,sosfaim
SOS Kinderdorpen België / SOS Villages d'Enfants Belgique,svdbskb_admin
SOS Sahel International UK,sossaheluk
Sound Seekers Limited,soundseekers
Southern African Catholic Bishops' Conference Aids Office,sacbc
Spain - Ministry of Foreign Affairs and Cooperation,maec
SPARK,spark
Stars Foundation,starsfoundation
Stichting ActionAId,aanl
Stichting Aflatoun International,aflatoun
Stichting Agriterra,agriterra
Stichting Aidenvironment,aidenvironment
Stichting Deltares,deltares
Stichting fondsbeheer DGGF lokaal MKB,dggf_financing_local_smes
Stichting Health Action International,hai
Stichting Humana,humana_houben
Stichting Kinderpostzegels Nederland,skn
Stichting Mayday Rescue Foundation,maydayrescue
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',clingendael
Stichting Onderzoek Multinationale Ondernemingen (SOMO),somo
Stichting Red een Kind,redeenkind
Stichting Vluchteling,st_vluchteling
Stichting VU Amsterdam - Amsterdam Centre for World Food Studies,acwfs_vu
Stichting Woord en Daad,w-d
Street Child,street_child
StreetInvest,si
Stromme Foundation,stromme_ug
Studio Globo,sg
Support Trust for Africa Development (STAD),stad
Survivors Fund (SURF),surf
"Sweden, through Swedish International Development Cooperation Agency (Sida)",sida
Switzerland - Swiss Agency for Development and Cooperation (SDC),sdc_ch
Sympany+,simone_sympany
Target TB,targettb
TB Alert,tbalert
Teach A Man To Fish,tamtf
TEAR fund Nederland,tear
Tearfund,tearfund
Tearfund VZW (TFBE),tfb_admin1
TechnoServe,tns
Terre des Hommes Netherlands,tdh_nl
Theatre for a Change Malawi,tfacmalawi
Theatre for a Change UK,tfac
Timidria,timidria
TradeMark East Africa,tmea
Traidcraft Exchange,traidcraft
Transnational Institute,tni
Transparency International Bangladesh,tib
Transparency International Kenya,ti_kenya
Transparency International Secretariat,transparency-international
Transparency International UK,ti-uk
TREE AID,treea
Trianglen,trianglen
Trias,trias
Triple Line,tripleline_crownagents
Trocaire (Northern Ireland),troc
Tropenbos International,tbi
Tropical Health and Education Trust,tropicalhealth
Trust for Africa's Orphans,tao-03473165
Twaweza,twaweza
Twin,twin-iati
UHAI EASHRI,uhai-eashri
"UK - Department for Business, Energy and Industrial Strategy",beis
"UK - Department for Environment, Food and Rural Affairs",defra_transparency
UK - Department for International Development (DFID),dfid
UK - Department for Work and Pensions,dwp
UK - Department of Energy and Climate Change,deccadmin
UK - Department of Health and Social Care (DHSC),dhsc
UK - Foreign & Commonwealth Office,fco
UK - Home Office,hooda
UK - Medical Research Council,mrc
UK - Ministry of Defence,ukmod
UK - Scottish Government,scottish_government
UK - Welsh Government's Wales for Africa Programme,wfa
ULB-Coopération,ulbcoop
UN Pooled Funds,unpf
UN Women,unw
UN-Habitat,unhabitat
Unicef Belgium National Committee,ub
UNICEF Netherlands National Committee,unicefnl
Union des Villes et Communes de Wallonie (UVCW),uvcw
Union of Agricultural Work Committees,uawc
UNITAID,utd
United Disabled Persons of Kenya,udpk
United Mission to Nepal,umn
United Nations Capital Development Fund,uncdf
United Nations Central Emergency Response Fund (CERF),cerf
United Nations Children's Fund (UNICEF),unicef
United Nations Development Programme (UNDP),undp
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",unesco
United Nations Environment Programme (UNEP),un-environment
United Nations Foundation,unf
United Nations High Commissioner for Refugees (UNHCR),unhcr
United Nations Industrial Development Organization (UNIDO),unido
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),unaids
United Nations OCHA Financial Tracking Service (UN OCHA FTS),ocha_fts
United Nations Office for Project Services (UNOPS),unops
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),unocha
United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),unocha-sdc
